ides,idmun,time,tmax,tmin
4,10,2023-04-12 12:00:00,33.38,18.84
4,10,2023-04-13 12:00:00,33.900000000000006,19.68
4,10,2023-04-14 12:00:00,34.870000000000005,21.375
4,10,2023-04-15 12:00:00,35.66,22.439999999999998
4,11,2023-04-12 12:00:00,33.28,20.83
4,11,2023-04-13 12:00:00,35.144999999999996,21.865
4,11,2023-04-14 12:00:00,37.93,23.1
4,11,2023-04-15 12:00:00,38.84,23.84
5,1,2023-04-12 12:00:00,29.4,17.03
5,1,2023-04-13 12:00:00,30.77,18.28
5,1,2023-04-14 12:00:00,33.715,20.725
5,1,2023-04-15 12:00:00,34.894999999999996,20.01
5,2,2023-04-12 12:00:00,29.24,13.23
5,2,2023-04-13 12:00:00,30.59,14.405000000000001
5,2,2023-04-14 12:00:00,32.59,17.03
5,2,2023-04-15 12:00:00,32.095,16.65
5,3,2023-04-12 12:00:00,27.63,15.69
5,3,2023-04-13 12:00:00,28.64,16.925
5,3,2023-04-14 12:00:00,31.615000000000002,18.975
5,3,2023-04-15 12:00:00,33.57000000000001,18.24
5,4,2023-04-12 12:00:00,21.19,11.81
5,4,2023-04-13 12:00:00,22.47,12.97
5,4,2023-04-14 12:00:00,23.645,14.38
5,4,2023-04-15 12:00:00,23.035,13.565000000000001
5,5,2023-04-12 12:00:00,26.78,15.11
5,5,2023-04-13 12:00:00,27.9,16.53
5,5,2023-04-14 12:00:00,30.61,20.185000000000002
5,5,2023-04-15 12:00:00,31.950000000000003,20.065
5,6,2023-04-12 12:00:00,27.08,13.93
5,6,2023-04-13 12:00:00,28.145,15.435
5,6,2023-04-14 12:00:00,29.975,17.94
5,6,2023-04-15 12:00:00,30.945,17.880000000000003
5,7,2023-04-12 12:00:00,28.69,13.98
5,7,2023-04-13 12:00:00,29.995,15.615
5,7,2023-04-14 12:00:00,30.675,16.28
5,7,2023-04-15 12:00:00,30.32,15.48
5,8,2023-04-12 12:00:00,29.08,16.36
5,8,2023-04-13 12:00:00,30.619999999999997,17.63
5,8,2023-04-14 12:00:00,33.915,20.015
5,8,2023-04-15 12:00:00,35.155,19.68
5,9,2023-04-12 12:00:00,29.07,15.18
5,9,2023-04-13 12:00:00,30.14,16.939999999999998
5,9,2023-04-14 12:00:00,30.46,16.695
5,9,2023-04-15 12:00:00,29.77,15.424999999999999
5,10,2023-04-12 12:00:00,28.68,16.86
5,10,2023-04-13 12:00:00,29.535,17.865000000000002
5,10,2023-04-14 12:00:00,32.045,20.025
5,10,2023-04-15 12:00:00,33.725,19.775
5,11,2023-04-12 12:00:00,25.78,13.08
5,11,2023-04-13 12:00:00,27.55,14.395
5,11,2023-04-14 12:00:00,28.740000000000002,15.915000000000003
5,11,2023-04-15 12:00:00,28.295,15.840000000000003
5,12,2023-04-12 12:00:00,27.91,15.92
5,12,2023-04-13 12:00:00,29.07,16.25
5,12,2023-04-14 12:00:00,31.895000000000003,18.549999999999997
5,12,2023-04-15 12:00:00,34.155,19.674999999999997
5,13,2023-04-12 12:00:00,27.69,16.43
5,13,2023-04-13 12:00:00,28.91,16.575
5,13,2023-04-14 12:00:00,31.525,18.715
5,13,2023-04-15 12:00:00,34.010000000000005,19.915
5,14,2023-04-12 12:00:00,29.31,13.83
5,14,2023-04-13 12:00:00,30.314999999999998,14.775
5,14,2023-04-14 12:00:00,33.015,17.725
5,14,2023-04-15 12:00:00,34.644999999999996,18.37
5,15,2023-04-12 12:00:00,27.39,15.95
5,15,2023-04-13 12:00:00,28.325000000000003,17.305
5,15,2023-04-14 12:00:00,30.880000000000003,19.96
5,15,2023-04-15 12:00:00,33.22,19.895000000000003
5,16,2023-04-12 12:00:00,27.93,13.86
5,16,2023-04-13 12:00:00,29.205,15.145
5,16,2023-04-14 12:00:00,31.44,16.869999999999997
5,16,2023-04-15 12:00:00,32.14,16.775
5,17,2023-04-12 12:00:00,29.53,16.46
5,17,2023-04-13 12:00:00,30.555,17.955
5,17,2023-04-14 12:00:00,30.799999999999997,17.665
5,17,2023-04-15 12:00:00,30.23,16.630000000000003
5,18,2023-04-12 12:00:00,28.08,15.76
