desciel,dh,dirvienc,dirvieng,dpt,dsem,hloc,hr,ides,idmun,lat,lon,nes,nhor,nmun,prec,probprec,raf,temp,velvien
Despejado,6,Este,85.31,16.23,Lunes,20230417T02,69.81,20,481,17.0152,-97.7665,Oaxaca,114,Santiago Nuyoó, 0.00, 0.00, 4.89,18.71, 4.30
Despejado,6,Noreste,22.82,23.16,Lunes,20230417T02,82.01,20,482,16.3390,-98.0503,Oaxaca,114,Santiago Pinotepa Nacional, 0.00, 0.00, 6.15,24.60, 4.72
Medio nublado,6,Este,68.18,14.00,Lunes,20230417T02,91.56,20,483,17.2471,-96.8737,Oaxaca,114,Santiago Suchilquitongo, 0.43, 0.00,10.37,14.60, 7.73
Medio nublado,6,Sureste,156.35,19.08,Lunes,20230417T02,53.22,20,484,17.6693,-98.2208,Oaxaca,114,Santiago Tamazola, 0.10, 0.00, 9.06,23.56, 6.11
Poco nuboso,6,Norte, 5.10,23.97,Lunes,20230417T02,83.11,20,485,16.3410,-98.4475,Oaxaca,114,Santiago Tapextla, 0.00, 0.00, 7.01,25.32, 6.88
Cielo nublado,6,Este,109.45,20.14,Lunes,20230417T02,75.80,7,69,15.6917,-93.2093,Chiapas,114,Pijijiapan, 0.04,93.28,12.30,22.11, 7.67
Medio nublado,6,Este,74.84,14.51,Lunes,20230417T02,83.74,20,486,17.6671,-97.4735,Oaxaca,114,Villa Tejúpam de la Unión, 0.73,45.00,11.99,15.71, 8.65
Cielo nublado,6,Noreste,44.27,14.48,Lunes,20230417T02,92.68,20,487,17.3249,-97.0041,Oaxaca,114,Santiago Tenango, 0.63, 0.00,10.81,14.99, 7.77
Despejado,6,Noreste,39.92,20.99,Lunes,20230417T02,71.47,20,489,16.3223,-97.7483,Oaxaca,114,Santiago Tetepec, 0.00, 0.00, 4.21,23.39, 4.11
Despejado,6,Noreste,55.31,16.53,Lunes,20230417T02,78.27,20,491,16.6927,-97.2603,Oaxaca,114,Santiago Textitlán, 0.04, 0.00, 5.47,18.22, 5.08
Medio nublado,6,Este,107.26,15.24,Lunes,20230417T02,77.44,20,492,17.2831,-97.3398,Oaxaca,114,Santiago Tilantongo, 0.46,63.57, 6.59,16.98, 5.09
Medio nublado,6,Sureste,118.73,13.93,Lunes,20230417T02,88.63,20,494,17.0269,-96.9955,Oaxaca,114,Santiago Tlazoyaltepec, 0.17,13.33, 7.67,14.74, 6.65
Cielo nublado,6,Noroeste,330.38,21.36,Lunes,20230417T02,83.10,20,495,16.0095,-96.2249,Oaxaca,114,Santiago Xanica, 0.00,95.00, 3.41,22.68, 3.20
Cielo cubierto,7,Sur,177.41,11.02,Lunes,20230417T02,74.74,2,4,32.5325,-117.0189,Baja California,114,Tijuana, 0.00, 0.00, 8.55,12.94, 3.80
Cielo cubierto,6,Noreste,56.11,12.54,Lunes,20230417T02,88.08,7,70,15.4564,-92.2796,Chiapas,114,El Porvenir, 0.06,40.00, 5.92,13.38, 5.07
Cielo cubierto,6,Sur,177.53,13.08,Lunes,20230417T02,96.92,20,496,17.2931,-96.4316,Oaxaca,114,Santiago Xiacuí, 0.38, 0.00,10.48,13.29, 7.15
Cielo cubierto,6,Oeste,259.79,22.32,Lunes,20230417T02,92.89,20,498,17.3358,-95.7007,Oaxaca,114,Santiago Yaveo, 2.27, 0.00,49.96,22.85,20.46
Despejado,6,Sureste,118.06,14.35,Lunes,20230417T02,76.68,20,499,17.4709,-97.5698,Oaxaca,114,Santiago Yolomécatl, 0.36,87.50, 5.15,16.14, 4.99
Despejado,6,Noreste,43.71,17.20,Lunes,20230417T02,71.02,20,500,16.8734,-97.5766,Oaxaca,114,Santiago Yosondúa, 0.00,10.77, 5.31,19.58, 5.27
Medio nublado,6,Sur,159.94,17.94,Lunes,20230417T02,53.62,20,501,17.6082,-98.1964,Oaxaca,114,Santiago Yucuyachi, 0.04, 0.00,10.29,22.32, 8.04
Cielo cubierto,6,Sureste,143.74,18.12,Lunes,20230417T02,97.80,20,502,17.1594,-95.9150,Oaxaca,114,Santiago Zacatepec, 0.60, 0.00,15.67,18.28, 6.60
Cielo nublado,6,Noreste,56.19,12.92,Lunes,20230417T02,94.25,20,504,17.2913,-96.6200,Oaxaca,114,Nuevo Zoquiápam, 0.50, 0.00,11.21,13.31, 8.54
Cielo cubierto,6,Noroeste,328.31,24.24,Lunes,20230417T02,81.98,20,505,16.5885,-94.7686,Oaxaca,114,Santo Domingo Ingenio, 1.63, 0.00,52.58,25.70,25.56
Cielo cubierto,6,Suroeste,216.00,22.56,Lunes,20230417T02,79.02,7,71,15.2119,-92.5760,Chiapas,114,Villa Comaltitlán, 0.10,95.00,13.27,24.26, 8.24
Cielo cubierto,6,Sureste,151.69,14.69,Lunes,20230417T02,94.09,20,506,17.0680,-96.2001,Oaxaca,114,Santo Domingo Albarradas, 0.08, 0.00,15.58,15.11,10.25
Poco nuboso,6,Norte, 8.62,23.72,Lunes,20230417T02,83.81,20,507,16.3330,-98.3782,Oaxaca,114,Santo Domingo Armenta, 0.00, 0.00, 6.58,25.00, 6.28
Cielo cubierto,6,Oeste,276.31,24.88,Lunes,20230417T02,76.97,20,509,15.8330,-96.6681,Oaxaca,114,Santo Domingo de Morelos, 0.00, 0.00, 3.10,26.80, 2.54
Medio nublado,6,Noreste,52.77,14.20,Lunes,20230417T02,89.26,20,511,17.2219,-97.1207,Oaxaca,114,Santo Domingo Nuxaá, 0.35, 3.33, 8.64,14.97, 6.72
Cielo nublado,6,Noroeste,324.31,16.72,Lunes,20230417T02,86.32,20,512,16.1509,-96.3104,Oaxaca,114,Santo Domingo Ozolotepec, 0.12,50.00, 4.65,17.73, 4.57
Cielo cubierto,6,Norte,337.71,21.83,Lunes,20230417T02,89.47,20,513,16.8207,-95.1404,Oaxaca,114,Santo Domingo Petapa, 4.31, 0.00,49.79,22.63,17.17
Cielo cubierto,6,Noroeste,313.60,16.35,Lunes,20230417T02,98.40,20,514,17.3376,-96.1146,Oaxaca,114,Santo Domingo Roayaga, 0.43, 0.00,12.83,16.46, 6.33
Cielo nublado,6,Sureste,154.82,24.62,Lunes,20230417T02,73.47,20,515,16.3321,-95.2320,Oaxaca,114,Santo Domingo Tehuantepec, 1.55, 0.00,41.82,26.90,13.46
Cielo cubierto,6,Sureste,125.52,14.44,Lunes,20230417T02,97.15,7,72,17.1576,-92.8973,Chiapas,114,Pueblo Nuevo Solistahuacán, 0.50, 0.00, 5.54,14.64, 3.44
Poco nuboso,6,Noreste,59.33,18.03,Lunes,20230417T02,77.90,20,516,16.5894,-97.2262,Oaxaca,114,Santo Domingo Teojomulco, 0.00, 0.00, 5.07,19.77, 4.75
Cielo cubierto,6,Sur,170.49,16.74,Lunes,20230417T02,91.32,20,517,16.9569,-96.0554,Oaxaca,114,Santo Domingo Tepuxtepec, 0.15, 0.00,14.62,17.36, 8.64
Medio nublado,6,Sureste,144.10,17.69,Lunes,20230417T02,57.39,20,520,17.6746,-97.9639,Oaxaca,114,Santo Domingo Tonalá, 0.08, 0.00, 6.69,21.58, 6.44
Cielo cubierto,6,Sureste,145.88,14.32,Lunes,20230417T02,94.63,20,522,17.1555,-96.2680,Oaxaca,114,Santo Domingo Xagacía, 0.07, 0.00,14.39,14.69, 9.62
Cielo nublado,6,Este,70.97,14.68,Lunes,20230417T02,84.92,20,523,17.5280,-97.3423,Oaxaca,114,Santo Domingo Yanhuitlán, 1.03, 0.00,11.36,15.79, 8.65
Cielo cubierto,6,Sur,161.01,24.25,Lunes,20230417T02,75.36,20,525,16.4828,-94.3539,Oaxaca,114,Santo Domingo Zanatepec, 0.10, 3.33,29.72,26.33,13.73
Cielo cubierto,6,Este,73.90,15.57,Lunes,20230417T02,96.03,7,73,17.2005,-93.0112,Chiapas,114,Rayón, 0.50, 0.00, 6.08,15.85, 3.73
Poco nuboso,6,Noreste,33.38,22.01,Lunes,20230417T02,77.91,20,526,16.1068,-97.1444,Oaxaca,114,Santos Reyes Nopala, 0.00, 0.00, 3.95,23.81, 3.70
Cielo cubierto,6,Noreste,52.70,16.50,Lunes,20230417T02,97.56,20,527,17.8047,-96.8609,Oaxaca,114,Santos Reyes Pápalo, 2.32, 0.00,11.12,16.67, 8.06
Medio nublado,6,Sureste,138.41,15.92,Lunes,20230417T02,64.72,20,528,17.4378,-97.9383,Oaxaca,114,Santos Reyes Tepejillo, 0.00, 0.00, 6.52,18.92, 6.04
Medio nublado,6,Sureste,135.97,18.26,Lunes,20230417T02,55.55,20,529,17.7777,-98.0045,Oaxaca,114,Santos Reyes Yucuná, 0.09, 0.00, 5.39,22.41, 5.19
Medio nublado,6,Sureste,157.44,16.16,Lunes,20230417T02,79.82,20,530,16.8444,-96.6710,Oaxaca,114,Santo Tomás Jalieza, 0.45, 0.00, 6.93,17.71, 5.93
Medio nublado,6,Sureste,113.85,14.13,Lunes,20230417T02,89.63,20,531,17.1735,-96.8715,Oaxaca,114,Santo Tomás Mazaltepec, 0.29,40.00, 8.99,14.87, 7.33
Despejado,6,Este,96.17,16.03,Lunes,20230417T02,70.39,20,532,17.1453,-97.7623,Oaxaca,114,Santo Tomás Ocotepec, 0.01, 0.00, 4.89,18.45, 4.50
Cielo nublado,6,Noreste,36.48,17.23,Lunes,20230417T02,77.19,20,534,16.3869,-96.8450,Oaxaca,114,San Vicente Coatlán, 0.03,95.00, 5.41,19.02, 5.27
Medio nublado,6,Noreste,39.06,15.73,Lunes,20230417T02,79.59,20,535,16.7043,-97.0195,Oaxaca,114,San Vicente Lachixío, 0.10, 0.00, 4.66,17.29, 4.41
Cielo cubierto,6,Oeste,261.37,24.09,Lunes,20230417T02,94.05,7,74,17.8658,-93.1471,Chiapas,114,Reforma, 0.90, 0.00, 8.41,24.53, 5.25
Medio nublado,6,Este,93.51,14.50,Lunes,20230417T02,80.43,20,536,17.4568,-97.4423,Oaxaca,114,San Vicente Nuñú, 0.59,53.33, 7.02,15.97, 5.59
Medio nublado,6,Sur,165.31,17.21,Lunes,20230417T02,56.42,20,537,17.5014,-98.1426,Oaxaca,114,Silacayoápam, 0.05, 0.00,10.07,21.21, 7.36
Poco nuboso,6,Este,85.51,14.81,Lunes,20230417T02,78.10,20,540,17.6731,-97.5728,Oaxaca,114,Villa de Tamazulápam del Progreso, 0.52,40.00,10.59,16.49, 7.74
Despejado,6,Este,67.81,20.69,Lunes,20230417T02,74.14,20,543,16.3064,-97.5461,Oaxaca,114,Tataltepec de Valdés, 0.00, 0.00, 4.97,22.82, 4.83
Cielo nublado,6,Noreste,46.56,13.01,Lunes,20230417T02,95.09,20,544,17.3520,-96.6149,Oaxaca,114,Teococuilco de Marcos Pérez, 0.74, 0.00,11.18,13.34, 8.18
Cielo cubierto,6,Este,68.50,17.14,Lunes,20230417T02,92.19,20,545,18.1323,-97.0707,Oaxaca,114,Teotitlán de Flores Magón, 0.48,20.00, 9.78,17.70, 7.20
Cielo cubierto,6,Este,79.88,15.11,Lunes,20230417T02,80.78,7,75,16.3641,-92.3696,Chiapas,114,Las Rosas, 0.00, 0.00, 6.32,16.57, 4.83
Medio nublado,6,Noreste,31.28,14.20,Lunes,20230417T02,89.64,20,546,17.0296,-96.5189,Oaxaca,114,Teotitlán del Valle, 0.21, 0.00,11.17,14.93, 9.74
Cielo cubierto,6,Noreste,60.23,16.49,Lunes,20230417T02,92.54,20,548,17.8748,-97.3622,Oaxaca,114,Tepelmeme Villa de Morelos, 0.71,77.75,13.57,17.03, 9.92
Poco nuboso,6,Sureste,138.51,16.03,Lunes,20230417T02,64.75,20,549,17.6545,-97.8083,Oaxaca,114,Heroica Villa Tezoatlán de Segura y Luna, 0.24, 0.00, 7.41,19.03, 7.18
Medio nublado,6,Noreste,50.37,14.57,Lunes,20230417T02,87.38,20,550,17.0089,-96.5811,Oaxaca,114,San Jerónimo Tlacochahuaya, 0.21, 0.00,10.31,15.49, 9.11
Cielo nublado,6,Noreste,33.49,16.89,Lunes,20230417T02,85.61,20,551,16.9556,-96.4792,Oaxaca,114,Tlacolula de Matamoros, 0.46, 0.00,11.69,17.96, 7.83
Cielo nublado,6,Noreste,58.73,15.12,Lunes,20230417T02,88.81,20,552,17.8508,-97.4328,Oaxaca,114,Tlacotepec Plumas, 0.60,10.00,14.33,15.93,11.50
Medio nublado,6,Sureste,114.15,14.22,Lunes,20230417T02,88.08,20,553,17.0745,-96.6484,Oaxaca,114,Tlalixtac de Cabrera, 0.13,10.00,10.56,15.08, 8.93
Cielo cubierto,6,Oeste,278.62,16.42,Lunes,20230417T02,98.10,20,554,17.2586,-96.0274,Oaxaca,114,Totontepec Villa de Morelos, 0.49, 0.00,15.20,16.55, 6.84
Cielo cubierto,6,Sur,196.58,17.16,Lunes,20230417T02,97.25,7,76,17.2835,-92.5517,Chiapas,114,Sabanilla, 0.20, 0.00, 5.75,17.36, 3.94
Cielo nublado,6,Oeste,284.87,24.88,Lunes,20230417T02,79.38,20,557,16.4728,-94.8289,Oaxaca,114,Unión Hidalgo, 0.43, 0.00,57.90,26.58,35.51
Cielo cubierto,6,Noreste,45.75,17.00,Lunes,20230417T02,96.75,20,558,17.7717,-96.9802,Oaxaca,114,Valerio Trujano, 1.95, 0.00,11.90,17.23, 9.56
Cielo cubierto,6,Oeste,253.92,19.39,Lunes,20230417T02,98.22,20,559,17.7750,-96.3040,Oaxaca,114,San Juan Bautista Valle Nacional, 2.20, 0.00,12.65,19.52, 3.76
Cielo nublado,6,Noreste,37.99,14.35,Lunes,20230417T02,91.52,20,560,16.9985,-96.4325,Oaxaca,114,Villa Díaz Ordaz, 0.20, 0.00,15.53,14.95,10.58
Medio nublado,6,Noreste,47.86,17.52,Lunes,20230417T02,79.53,20,561,16.7251,-96.4725,Oaxaca,114,Yaxe, 0.78,10.00, 5.49,19.11, 4.67
Medio nublado,6,Noreste,41.90,17.21,Lunes,20230417T02,76.22,20,563,16.4612,-96.7886,Oaxaca,114,Yogana, 0.05,95.00, 4.53,19.09, 4.50
Poco nuboso,6,Este,89.81,15.79,Lunes,20230417T02,75.42,20,564,17.0395,-97.2975,Oaxaca,114,Yutanduchi de Guerrero, 0.17, 0.00, 5.59,17.72, 5.53
Medio nublado,6,Noroeste,310.00,15.69,Lunes,20230417T02,80.44,20,565,16.9507,-96.7506,Oaxaca,114,Villa de Zaachila, 0.14,80.00, 7.59,17.18, 6.96
Cielo cubierto,6,Suroeste,222.29,20.96,Lunes,20230417T02,93.90,7,77,17.5570,-92.3334,Chiapas,114,Salto de Agua, 0.07,32.12, 7.36,21.41, 4.82
Despejado,6,Noreste,50.91,16.94,Lunes,20230417T02,74.79,20,566,16.7368,-97.4831,Oaxaca,114,San Mateo Yucutindoo, 0.03, 0.00, 5.68,18.96, 5.40
Cielo nublado,6,Noreste,53.30, 9.99,Lunes,20230417T02,74.36,21,1,19.1049,-97.9527,Puebla,114,Acajete, 0.09, 0.00,23.04,11.93,14.07
Cielo cubierto,6,Oeste,255.54,16.62,Lunes,20230417T02,92.13,21,2,20.1301,-97.2103,Puebla,114,Acateno, 0.06,55.00,16.64,17.18, 7.22
Poco nuboso,6,Este,90.40,19.55,Lunes,20230417T02,55.98,21,3,18.2023,-98.0486,Puebla,114,Acatlán, 0.16, 0.00,23.46,23.70, 9.23
Poco nuboso,6,Noreste,47.06,10.80,Lunes,20230417T02,74.35,21,4,18.9795,-97.7855,Puebla,114,Acatzingo, 0.04, 0.00,22.05,12.76,10.65
Medio nublado,6,Noreste,57.69,12.83,Lunes,20230417T02,48.51,21,5,18.7650,-98.7153,Puebla,114,Acteopan, 0.03, 0.00,26.06,17.73,12.21
Cielo cubierto,6,Suroeste,212.68,11.04,Lunes,20230417T02,96.99,21,6,20.0055,-97.8607,Puebla,114,Ahuacatlán, 0.10, 0.00, 5.18,11.24, 3.11
Cielo cubierto,6,Noreste,64.08,18.17,Lunes,20230417T02,49.05,21,7,18.5730,-98.2552,Puebla,114,Ahuatlán, 0.12, 0.00,26.77,23.20,17.68
Cielo cubierto,6,Este,72.28, 9.13,Lunes,20230417T02,96.48,21,8,20.0460,-98.1623,Puebla,114,Ahuazotepec, 0.00,60.00, 8.74, 9.36, 5.31
Poco nuboso,6,Este,86.56,20.09,Lunes,20230417T02,52.95,21,9,18.2108,-98.2214,Puebla,114,Ahuehuetitla, 0.06, 0.00,17.72,24.63, 8.29
Cielo cubierto,6,Este,72.88,13.78,Lunes,20230417T02,85.66,7,78,16.7370,-92.6376,Chiapas,114,San Cristóbal de las Casas, 0.04, 0.00, 6.46,14.83, 4.61
Cielo cubierto,6,Noreste,66.06,16.18,Lunes,20230417T02,91.12,21,10,18.3775,-97.2583,Puebla,114,Ajalpan, 0.90, 0.00, 9.49,16.82, 5.84
Medio nublado,6,Sureste,145.81,21.07,Lunes,20230417T02,50.09,21,11,18.0173,-98.5402,Puebla,114,Albino Zertuche, 0.03, 0.00, 5.40,26.06, 4.57
Cielo nublado,6,Este,82.47, 9.53,Lunes,20230417T02,83.42,21,12,19.1004,-97.5313,Puebla,114,Aljojuca, 0.09,50.00,10.02,10.71, 6.98
Cielo nublado,6,Noreste,51.28,10.42,Lunes,20230417T02,71.18,21,15,19.0446,-98.0449,Puebla,114,Amozoc, 0.00, 0.00,23.90,12.66,16.08
Cielo cubierto,6,Noreste,41.51, 7.87,Lunes,20230417T02,97.37,21,16,19.7967,-97.9366,Puebla,114,Aquixtla, 0.10, 0.00,14.13, 8.04, 8.87
Cielo cubierto,6,Este,81.03,15.89,Lunes,20230417T02,80.88,21,18,18.3984,-97.7368,Puebla,114,Atexcal, 0.28,55.00,29.25,17.34,16.54
Cielo nublado,6,Noreste,28.58,10.26,Lunes,20230417T02,59.14,21,19,18.9088,-98.4342,Puebla,114,Atlixco, 0.10, 0.00,31.68,13.74,16.53
Cielo cubierto,6,Oeste,282.24,18.91,Lunes,20230417T02,90.95,7,79,16.8717,-93.2063,Chiapas,114,San Fernando, 0.20, 0.00,16.45,19.58, 7.38
Cielo nublado,6,Noreste,48.39,12.20,Lunes,20230417T02,51.10,21,22,18.8237,-98.5826,Puebla,114,Atzitzihuacán, 0.05, 0.00,29.17,16.73,14.09
Cielo cubierto,6,Este,86.41, 9.29,Lunes,20230417T02,94.18,21,23,18.8974,-97.3274,Puebla,114,Atzitzintla, 0.19, 0.00,10.89, 9.68, 7.81
Medio nublado,6,Este,97.48,20.82,Lunes,20230417T02,48.73,21,24,18.1886,-98.3894,Puebla,114,Axutla, 0.04, 0.00,15.14,26.01, 6.47
Cielo cubierto,6,Oeste,254.28,14.43,Lunes,20230417T02,92.31,21,25,20.0972,-97.4105,Puebla,114,Ayotoxco de Guerrero, 0.03,87.50, 7.99,14.96, 4.63
Poco nuboso,6,Este,96.65, 4.07,Lunes,20230417T02,73.41,21,26,19.1079,-98.4592,Puebla,114,Calpan, 0.00, 0.00,23.05, 6.00,15.02
Cielo cubierto,6,Este,74.73,16.05,Lunes,20230417T02,88.65,21,27,18.1823,-97.4794,Puebla,114,Caltepec, 0.25,88.46,19.63,16.87,12.78
Cielo cubierto,7,Suroeste,239.42,12.64,Lunes,20230417T02,78.34,2,5,32.3637,-117.0545,Baja California,114,Playas de Rosarito, 0.00, 0.00, 7.83,14.27, 5.50
Cielo cubierto,6,Noreste,45.74,12.69,Lunes,20230417T02,88.22,7,80,15.5572,-92.3229,Chiapas,114,Siltepec, 0.06, 1.94, 9.66,13.53, 4.98
Cielo nublado,6,Noreste,65.36,17.57,Lunes,20230417T02,54.08,21,31,18.6151,-98.1742,Puebla,114,Coatzingo, 0.16, 0.00,27.48,21.88,17.82
Poco nuboso,6,Sureste,126.43,20.50,Lunes,20230417T02,48.68,21,32,18.2064,-98.8059,Puebla,114,Cohetzala, 0.00, 0.00,10.79,25.69, 5.14
Cielo nublado,6,Este,75.08,16.74,Lunes,20230417T02,90.15,21,35,18.2665,-97.1471,Puebla,114,Coxcatlán, 0.25, 0.00,10.10,17.45, 6.83
Cielo cubierto,6,Este,109.02,16.80,Lunes,20230417T02,94.77,21,36,18.2837,-96.9925,Puebla,114,Coyomeapan, 0.23, 0.00,10.80,17.17, 5.62
Cielo nublado,6,Este,82.37,15.98,Lunes,20230417T02,75.99,21,37,18.4044,-97.8308,Puebla,114,Coyotepec, 0.09,28.00,28.20,17.86,17.62
Cielo cubierto,6,Sur,194.75,10.36,Lunes,20230417T02,97.44,21,39,19.9126,-97.7962,Puebla,114,Cuautempan, 0.00, 0.00, 5.94,10.53, 4.04
Cielo cubierto,6,Sur,174.63,14.21,Lunes,20230417T02,96.65,7,81,17.1408,-92.7152,Chiapas,114,Simojovel, 0.13, 0.00, 5.07,14.44, 3.54
Cielo nublado,6,Noreste,57.37,11.47,Lunes,20230417T02,69.14,21,40,18.9557,-98.0160,Puebla,114,Cuautinchán, 0.00, 0.00,26.33,13.93,17.22
Medio nublado,6,Norte,17.02, 9.12,Lunes,20230417T02,67.85,21,41,19.0893,-98.2733,Puebla,114,Cuautlancingo, 0.09, 0.00,24.58,11.65,17.55
Cielo nublado,6,Este,75.25,18.82,Lunes,20230417T02,53.52,21,42,18.4867,-98.1839,Puebla,114,Cuayuca de Andrade, 0.18, 0.00,26.09,23.26,14.67
Cielo cubierto,6,Oeste,248.90,13.04,Lunes,20230417T02,93.29,21,43,20.0185,-97.5208,Puebla,114,Cuetzalan del Progreso, 0.02,92.50, 5.06,13.50, 3.09
Cielo cubierto,6,Norte,16.92, 7.69,Lunes,20230417T02,90.65,21,44,19.6053,-97.6219,Puebla,114,Cuyoaco, 0.10, 0.00,17.38, 8.32,10.08
Cielo nublado,6,Este,102.57, 9.32,Lunes,20230417T02,89.04,21,45,18.9883,-97.4485,Puebla,114,Chalchicomula de Sesma, 0.23,52.69,12.21,10.08, 6.34
Cielo cubierto,6,Este,69.21,13.43,Lunes,20230417T02,89.46,21,46,18.6205,-97.4112,Puebla,114,Chapulco, 0.62,33.33,16.35,14.17,11.27
Medio nublado,6,Este,96.32,20.48,Lunes,20230417T02,47.39,21,47,18.2997,-98.6028,Puebla,114,Chiautla, 0.05, 0.00,21.49,25.86, 6.90
Poco nuboso,6,Suroeste,224.37, 3.63,Lunes,20230417T02,79.37,21,48,19.2029,-98.4683,Puebla,114,Chiautzingo, 0.00, 0.00,20.82, 5.06,12.42
Cielo cubierto,6,Sureste,125.66,10.56,Lunes,20230417T02,96.34,21,49,20.0948,-97.9396,Puebla,114,Chiconcuautla, 0.00,10.00, 5.96,10.80, 4.03
Cielo cubierto,6,Suroeste,232.72,14.78,Lunes,20230417T02,95.97,7,82,17.0251,-92.3077,Chiapas,114,Sitalá, 0.11, 0.00, 4.28,15.05, 3.81
Cielo nublado,6,Suroeste,232.76,14.22,Lunes,20230417T02,94.73,21,50,19.2003,-97.0677,Puebla,114,Chichiquila, 0.05, 0.00, 5.03,14.58, 4.91
Cielo nublado,6,Este,76.38,18.41,Lunes,20230417T02,46.97,21,51,18.5194,-98.5784,Puebla,114,Chietla, 0.10, 0.00,26.85,23.76,11.28
Cielo cubierto,6,Noreste,42.01, 7.55,Lunes,20230417T02,93.39,21,53,19.8382,-98.0310,Puebla,114,Chignahuapan, 0.10,19.07,17.64, 7.99, 9.52
Cielo cubierto,6,Sureste,135.56, 7.88,Lunes,20230417T02,96.77,21,54,19.8139,-97.3894,Puebla,114,Chignautla, 0.10, 3.33,10.78, 8.09, 6.87
Despejado,6,Este,83.12,18.20,Lunes,20230417T02,63.01,21,55,17.9700,-97.8617,Puebla,114,Chila, 0.35, 0.00,12.74,21.45, 8.54
Medio nublado,6,Este,111.50,20.93,Lunes,20230417T02,48.21,21,56,18.1091,-98.4843,Puebla,114,Chila de la Sal, 0.04, 0.00,12.26,26.20, 5.80
Cielo cubierto,6,Este,105.66,10.23,Lunes,20230417T02,95.98,21,57,20.2392,-98.2121,Puebla,114,Honey, 0.00,95.00, 5.80,10.50, 3.76
Cielo cubierto,6,Este,98.07, 9.99,Lunes,20230417T02,94.27,21,58,19.2552,-97.1839,Puebla,114,Chilchotla, 0.10, 0.00, 7.17,10.38, 6.05
Poco nuboso,6,Este,89.01,20.61,Lunes,20230417T02,50.08,21,59,18.2005,-98.2632,Puebla,114,Chinantla, 0.05, 0.00,16.90,25.58, 7.15
Cielo cubierto,6,Suroeste,243.97,16.85,Lunes,20230417T02,70.48,7,83,16.2429,-92.3503,Chiapas,114,Socoltenango, 0.01,23.33, 4.83,19.28, 2.54
Cielo cubierto,6,Sureste,134.18,18.51,Lunes,20230417T02,94.43,21,61,18.4989,-96.9548,Puebla,114,Eloxochitlán, 0.30, 0.00, 5.88,18.91, 3.55
Cielo cubierto,6,Noreste,59.33,17.14,Lunes,20230417T02,48.69,21,62,18.6418,-98.3708,Puebla,114,Epatlán, 0.09, 0.00,28.52,22.18,16.53
Cielo cubierto,6,Oeste,255.50,19.09,Lunes,20230417T02,87.80,21,64,20.7337,-97.8521,Puebla,114,Francisco Z. Mena, 0.00, 0.00,13.66,20.00, 7.54
Medio nublado,6,Este,75.77,10.49,Lunes,20230417T02,78.19,21,65,18.9934,-97.7088,Puebla,114,General Felipe Ángeles, 0.09,50.00,16.72,12.11, 7.67
Poco nuboso,6,Este,85.16,20.42,Lunes,20230417T02,52.87,21,66,18.0915,-98.1204,Puebla,114,Guadalupe, 0.10, 0.00,15.01,25.00, 7.94
Cielo cubierto,6,Noreste,41.41, 9.11,Lunes,20230417T02,89.73,21,67,19.2898,-97.3427,Puebla,114,Guadalupe Victoria, 0.10, 0.00,13.40, 9.81, 8.99
Cielo cubierto,6,Oeste,290.82,14.11,Lunes,20230417T02,92.34,21,68,20.1217,-97.7446,Puebla,114,Hermenegildo Galeana, 0.08, 0.00, 3.06,14.64, 2.55
Cielo nublado,6,Noreste,45.43,13.34,Lunes,20230417T02,50.77,21,69,18.7707,-98.5415,Puebla,114,Huaquechula, 0.05, 0.00,34.90,17.95,16.05
Cielo cubierto,6,Sureste,134.60,18.10,Lunes,20230417T02,96.39,7,84,17.4287,-93.0312,Chiapas,114,Solosuchiapa, 0.45, 0.00, 4.45,18.36, 3.15
Cielo nublado,6,Noreste,58.67,15.69,Lunes,20230417T02,59.75,21,70,18.6788,-98.0508,Puebla,114,Huatlatlauca, 0.14, 0.00,30.53,19.25,18.61
Cielo cubierto,6,Sureste,153.89,11.01,Lunes,20230417T02,95.06,21,71,20.1747,-98.0513,Puebla,114,Huauchinango, 0.10,73.33, 6.04,11.35, 3.92
Cielo cubierto,6,Oeste,273.71,13.72,Lunes,20230417T02,92.70,21,72,20.1041,-97.6249,Puebla,114,Huehuetla, 0.05,78.33, 3.11,14.23, 2.57
Medio nublado,6,Este,94.68,19.62,Lunes,20230417T02,46.91,21,73,18.3732,-98.6879,Puebla,114,Huehuetlán el Chico, 0.02, 0.00,21.17,25.03, 8.22
Poco nuboso,6,Sureste,132.69, 4.35,Lunes,20230417T02,75.03,21,74,19.1590,-98.4080,Puebla,114,Huejotzingo, 0.10, 0.00,24.18, 6.14,14.47
Cielo cubierto,6,Suroeste,227.03,10.67,Lunes,20230417T02,95.47,21,75,19.8826,-97.4459,Puebla,114,Hueyapan, 0.00,87.50, 6.37,10.97, 4.83
Cielo cubierto,6,Oeste,259.10,14.67,Lunes,20230417T02,93.36,21,76,19.9395,-97.2890,Puebla,114,Hueytamalco, 0.07,83.00,14.42,15.14, 5.67
Cielo cubierto,6,Sur,200.30,10.46,Lunes,20230417T02,96.97,21,78,19.9662,-97.6935,Puebla,114,Huitzilan de Serdán, 0.09,10.00, 5.38,10.67, 3.80
Cielo cubierto,6,Sureste,140.21,17.05,Lunes,20230417T02,88.25,7,85,16.8910,-92.9253,Chiapas,114,Soyaló, 0.10, 0.00,10.24,17.91, 6.21
