cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien
28.99,Medio nublado,6,Sur,158.16,20230414T12,20,490,18.2082,-96.9688,2,Oaxaca,Santiago Texcalcingo,0.85,80.0,17.91,32.66,18.1,5.55
24.44,Poco nuboso,6,Sureste,150.79,20230415T12,20,490,18.2082,-96.9688,3,Oaxaca,Santiago Texcalcingo,3.62,95.0,17.2,32.85,16.84,5.46
44.12,Medio nublado,6,Sur,161.98,20230412T12,20,497,16.2256,-97.2694,0,Oaxaca,Santiago Yaitepec,6.4,95.0,11.66,32.68,17.48,5.53
37.12,Medio nublado,6,Sur,175.22,20230413T12,20,497,16.2256,-97.2694,1,Oaxaca,Santiago Yaitepec,0.75,80.0,14.55,33.39,17.93,6.16
4.61,Despejado,6,Sur,200.24,20230414T12,20,497,16.2256,-97.2694,2,Oaxaca,Santiago Yaitepec,0.45,0.0,14.43,34.81,18.63,6.08
33.07,Medio nublado,6,Sur,158.7,20230415T12,20,497,16.2256,-97.2694,3,Oaxaca,Santiago Yaitepec,0.0,0.0,14.53,35.12,19.81,6.15
32.71,Medio nublado,6,Suroeste,225.92,20230412T12,20,508,16.5919,-95.1624,0,Oaxaca,Santo Domingo Chihuitán,0.02,0.0,40.01,35.92,22.61,19.44
40.83,Medio nublado,6,Sureste,141.79,20230413T12,20,508,16.5919,-95.1624,1,Oaxaca,Santo Domingo Chihuitán,0.27,80.0,24.71,37.93,25.3,10.66
18.55,Poco nuboso,6,Sur,158.65,20230414T12,20,508,16.5919,-95.1624,2,Oaxaca,Santo Domingo Chihuitán,0.07,0.0,27.69,34.47,24.47,12.81
38.91,Medio nublado,6,Sureste,150.47,20230415T12,20,508,16.5919,-95.1624,3,Oaxaca,Santo Domingo Chihuitán,0.14,0.0,23.92,33.71,24.3,10.93
71.05,Cielo nublado,6,Sureste,156.55,20230412T12,20,518,17.4075,-97.347,0,Oaxaca,Santo Domingo Tlatayápam,3.34,95.0,17.96,27.23,12.9,6.85
57.8,Cielo nublado,6,Suroeste,212.69,20230413T12,20,518,17.4075,-97.347,1,Oaxaca,Santo Domingo Tlatayápam,1.68,95.0,21.9,27.64,12.21,7.47
30.49,Medio nublado,6,Suroeste,206.32,20230414T12,20,518,17.4075,-97.347,2,Oaxaca,Santo Domingo Tlatayápam,0.46,20.0,17.37,30.36,14.3,6.46
51.88,Cielo nublado,6,Sureste,154.14,20230415T12,20,518,17.4075,-97.347,3,Oaxaca,Santo Domingo Tlatayápam,0.39,20.0,19.7,30.98,14.45,6.14
72.85,Cielo nublado,6,Sur,171.03,20230412T12,20,519,17.0604,-96.6244,0,Oaxaca,Santo Domingo Tomaltepec,6.82,95.0,16.44,25.85,13.73,6.45
58.09,Cielo nublado,6,Suroeste,215.22,20230413T12,20,519,17.0604,-96.6244,1,Oaxaca,Santo Domingo Tomaltepec,6.41,95.0,18.88,26.59,15.04,7.27
35.22,Medio nublado,6,Sur,198.54,20230414T12,20,519,17.0604,-96.6244,2,Oaxaca,Santo Domingo Tomaltepec,2.47,95.0,19.64,28.3,16.43,6.67
50.85,Cielo nublado,6,Sureste,153.78,20230415T12,20,519,17.0604,-96.6244,3,Oaxaca,Santo Domingo Tomaltepec,4.33,95.0,19.09,27.79,15.76,7.33
70.63,Cielo nublado,6,Sureste,149.59,20230412T12,20,521,17.6109,-97.3601,0,Oaxaca,Santo Domingo Tonaltepec,3.47,95.0,18.21,26.18,12.74,7.79
62.16,Cielo nublado,6,Suroeste,215.27,20230413T12,20,521,17.6109,-97.3601,1,Oaxaca,Santo Domingo Tonaltepec,2.1,95.0,22.25,26.54,12.44,7.89
28.79,Medio nublado,6,Sur,199.2,20230414T12,20,521,17.6109,-97.3601,2,Oaxaca,Santo Domingo Tonaltepec,1.19,95.0,16.88,29.37,14.49,6.15
51.88,Cielo nublado,6,Sureste,144.86,20230415T12,20,521,17.6109,-97.3601,3,Oaxaca,Santo Domingo Tonaltepec,1.07,95.0,15.93,30.19,14.35,5.33
43.13,Medio nublado,6,Suroeste,206.93,20230412T12,20,524,17.6169,-97.683,0,Oaxaca,Santo Domingo Yodohino,2.91,95.0,21.51,29.12,13.61,9.14
65.29,Cielo nublado,6,Suroeste,208.09,20230413T12,20,524,17.6169,-97.683,1,Oaxaca,Santo Domingo Yodohino,0.29,20.0,21.83,29.16,13.73,10.06
18.43,Poco nuboso,6,Suroeste,217.46,20230414T12,20,524,17.6169,-97.683,2,Oaxaca,Santo Domingo Yodohino,0.03,0.0,19.55,31.56,14.98,8.38
45.81,Medio nublado,6,Sur,201.18,20230415T12,20,524,17.6169,-97.683,3,Oaxaca,Santo Domingo Yodohino,0.05,0.0,20.85,32.58,15.63,8.54
60.72,Cielo nublado,6,Sur,176.25,20230412T12,20,533,16.272000000000002,-96.5858,0,Oaxaca,Santo Tomás Tamazulapan,11.77,95.0,15.41,26.34,13.92,5.44
41.24,Medio nublado,6,Sur,179.19,20230413T12,20,533,16.272000000000002,-96.5858,1,Oaxaca,Santo Tomás Tamazulapan,5.02,95.0,17.47,27.0,14.81,6.56
26.21,Medio nublado,6,Sur,198.13,20230414T12,20,533,16.272000000000002,-96.5858,2,Oaxaca,Santo Tomás Tamazulapan,1.29,95.0,15.81,28.21,15.93,5.99
36.57,Medio nublado,6,Sureste,136.13,20230415T12,20,533,16.272000000000002,-96.5858,3,Oaxaca,Santo Tomás Tamazulapan,0.57,95.0,17.13,29.5,16.58,6.55
79.55,Cielo nublado,6,Este,90.28,20230412T12,20,541,17.3767,-96.3022,0,Oaxaca,Tanetze de Zaragoza,5.12,95.0,10.24,20.83,13.84,4.56
70.7,Cielo nublado,6,Sureste,154.66,20230413T12,20,541,17.3767,-96.3022,1,Oaxaca,Tanetze de Zaragoza,11.07,95.0,11.28,25.54,15.8,6.67
27.92,Medio nublado,6,Sur,178.71,20230414T12,20,541,17.3767,-96.3022,2,Oaxaca,Tanetze de Zaragoza,10.54,95.0,14.11,28.84,16.7,7.47
46.06,Medio nublado,6,Sur,176.02,20230415T12,20,541,17.3767,-96.3022,3,Oaxaca,Tanetze de Zaragoza,25.61,95.0,18.12,28.65,14.88,7.23
43.29,Medio nublado,6,Sur,180.72,20230412T12,20,547,17.7263,-97.5367,0,Oaxaca,Teotongo,3.28,95.0,24.02,27.94,13.12,9.53
65.19,Cielo nublado,6,Suroeste,211.08,20230413T12,20,547,17.7263,-97.5367,1,Oaxaca,Teotongo,0.27,0.0,23.61,28.44,12.8,9.8
23.52,Poco nuboso,6,Suroeste,219.15,20230414T12,20,547,17.7263,-97.5367,2,Oaxaca,Teotongo,0.25,0.0,21.8,30.35,14.39,7.04
50.62,Cielo nublado,6,Sur,186.77,20230415T12,20,547,17.7263,-97.5367,3,Oaxaca,Teotongo,0.12,0.0,20.04,31.28,14.95,7.27
58.9,Cielo nublado,6,Sureste,123.96,20230412T12,21,13,18.3668,-97.2992,0,Puebla,Altepexi,5.14,95.0,21.6,28.14,14.84,8.27
55.02,Cielo nublado,6,Sur,197.84,20230413T12,21,13,18.3668,-97.2992,1,Puebla,Altepexi,0.99,95.0,22.24,31.68,16.64,7.6
22.95,Poco nuboso,6,Sur,167.04,20230414T12,21,13,18.3668,-97.2992,2,Puebla,Altepexi,0.67,0.0,17.39,32.98,18.98,6.03
26.6,Medio nublado,6,Sureste,138.08,20230415T12,21,13,18.3668,-97.2992,3,Puebla,Altepexi,1.84,95.0,21.85,33.73,17.97,6.34
84.6,Cielo cubierto,6,Este,93.53,20230412T12,21,14,20.0494,-97.7989,0,Puebla,Amixtlán,1.83,95.0,10.45,18.81,9.92,4.44
59.63,Cielo nublado,6,Sureste,131.24,20230413T12,21,14,20.0494,-97.7989,1,Puebla,Amixtlán,1.12,0.0,12.21,22.89,12.05,6.22
17.68,Poco nuboso,6,Sureste,138.79,20230414T12,21,14,20.0494,-97.7989,2,Puebla,Amixtlán,0.57,95.0,13.33,27.24,13.43,8.53
28.31,Medio nublado,6,Sureste,150.42,20230415T12,21,14,20.0494,-97.7989,3,Puebla,Amixtlán,1.6,95.0,12.02,27.56,13.01,6.75
79.15,Cielo nublado,6,Sureste,128.87,20230412T12,21,17,19.8399,-97.4593,0,Puebla,Atempan,1.73,95.0,13.84,15.52,5.53,6.63
66.46,Cielo nublado,6,Sur,189.82,20230413T12,21,17,19.8399,-97.4593,1,Puebla,Atempan,4.72,95.0,25.69,21.57,6.92,10.36
34.47,Medio nublado,6,Sureste,152.48,20230414T12,21,17,19.8399,-97.4593,2,Puebla,Atempan,5.13,95.0,18.83,23.9,8.51,10.16
27.26,Medio nublado,6,Sureste,126.61,20230415T12,21,17,19.8399,-97.4593,3,Puebla,Atempan,7.66,95.0,16.09,24.15,8.77,6.41
52.92,Cielo nublado,6,Sureste,150.24,20230412T12,21,20,18.8226,-97.9137,0,Puebla,Atoyatempan,4.11,95.0,25.84,27.57,12.95,10.74
36.19,Medio nublado,6,Suroeste,214.98,20230413T12,21,20,18.8226,-97.9137,1,Puebla,Atoyatempan,0.14,0.0,28.39,27.79,14.16,11.92
11.79,Poco nuboso,6,Suroeste,205.04,20230414T12,21,20,18.8226,-97.9137,2,Puebla,Atoyatempan,0.0,0.0,23.83,29.04,15.02,9.91
7.01,Despejado,6,Sur,167.23,20230415T12,21,20,18.8226,-97.9137,3,Puebla,Atoyatempan,0.09,0.0,20.61,29.61,16.11,10.26
58.83,Cielo nublado,6,Suroeste,229.64,20230412T12,21,21,18.5448,-98.5543,0,Puebla,Atzala,2.8,95.0,36.82,31.32,18.83,6.07
40.27,Medio nublado,6,Suroeste,221.76,20230413T12,21,21,18.5448,-98.5543,1,Puebla,Atzala,0.0,0.0,21.9,32.24,18.82,6.56
10.7,Poco nuboso,6,Suroeste,232.79,20230414T12,21,21,18.5448,-98.5543,2,Puebla,Atzala,0.0,0.0,13.9,33.57,19.36,5.79
1.18,Despejado,6,Sur,190.2,20230415T12,21,21,18.5448,-98.5543,3,Puebla,Atzala,0.0,0.0,12.97,34.48,20.13,5.73
85.97,Cielo cubierto,6,Este,94.98,20230412T12,21,28,20.0385,-97.7577,0,Puebla,Camocuautla,1.54,95.0,10.08,19.03,10.05,4.12
60.21,Cielo nublado,6,Sureste,128.07,20230413T12,21,28,20.0385,-97.7577,1,Puebla,Camocuautla,0.56,0.0,11.02,23.14,12.4,5.54
17.14,Poco nuboso,6,Sureste,134.47,20230414T12,21,28,20.0385,-97.7577,2,Puebla,Camocuautla,0.69,95.0,13.11,27.43,13.78,8.18
27.79,Medio nublado,6,Sureste,146.79,20230415T12,21,28,20.0385,-97.7577,3,Puebla,Camocuautla,1.73,95.0,11.37,28.02,13.53,6.48
53.87,Cielo nublado,6,Sur,165.06,20230412T12,21,34,19.1311,-98.3081,0,Puebla,Coronango,2.43,95.0,22.4,22.83,8.54,9.2
50.58,Cielo nublado,6,Sur,178.48,20230413T12,21,34,19.1311,-98.3081,1,Puebla,Coronango,0.49,80.0,25.13,22.89,9.36,11.4
8.29,Despejado,6,Sur,177.77,20230414T12,21,34,19.1311,-98.3081,2,Puebla,Coronango,0.2,0.0,25.87,24.67,10.55,9.84
5.1,Despejado,6,Sur,166.04,20230415T12,21,34,19.1311,-98.3081,3,Puebla,Coronango,0.02,20.0,26.18,25.45,10.9,9.62
54.39,Cielo nublado,6,Sur,162.42,20230412T12,21,52,18.6456,-98.0756,0,Puebla,Chigmecatitlán,1.91,95.0,23.19,29.3,15.58,9.17
36.29,Medio nublado,6,Suroeste,210.58,20230413T12,21,52,18.6456,-98.0756,1,Puebla,Chigmecatitlán,0.02,0.0,28.79,30.19,16.2,11.31
10.43,Poco nuboso,6,Suroeste,214.11,20230414T12,21,52,18.6456,-98.0756,2,Puebla,Chigmecatitlán,0.0,0.0,18.16,31.17,17.12,8.56
2.85,Despejado,6,Sur,170.94,20230415T12,21,52,18.6456,-98.0756,3,Puebla,Chigmecatitlán,0.06,0.0,16.11,31.66,18.19,9.07
69.49,Cielo nublado,6,Sureste,155.3,20230412T12,21,63,18.8584,-97.3751,0,Puebla,Esperanza,17.28,95.0,16.77,17.34,10.96,8.85
44.08,Medio nublado,6,Suroeste,230.37,20230413T12,21,63,18.8584,-97.3751,1,Puebla,Esperanza,2.19,95.0,18.44,20.46,12.56,9.51
18.34,Poco nuboso,6,Sur,178.29,20230414T12,21,63,18.8584,-97.3751,2,Puebla,Esperanza,3.07,95.0,16.2,22.28,13.22,8.08
16.87,Poco nuboso,6,Sureste,129.56,20230415T12,21,63,18.8584,-97.3751,3,Puebla,Esperanza,5.5,95.0,16.67,23.2,12.33,7.41
86.24,Cielo cubierto,6,Este,102.03,20230412T12,21,77,20.0257,-97.6987,0,Puebla,Hueytlalpan,1.44,95.0,9.96,18.99,9.95,3.99
60.49,Cielo nublado,6,Sureste,127.35,20230413T12,21,77,20.0257,-97.6987,1,Puebla,Hueytlalpan,0.51,0.0,10.8,23.27,12.46,5.41
19.19,Poco nuboso,6,Sureste,132.1,20230414T12,21,77,20.0257,-97.6987,2,Puebla,Hueytlalpan,0.85,95.0,12.57,27.5,13.98,8.01
28.24,Medio nublado,6,Sureste,143.08,20230415T12,21,77,20.0257,-97.6987,3,Puebla,Hueytlalpan,1.45,80.0,11.18,28.15,13.98,6.29
53.61,Cielo nublado,6,Sureste,149.11,20230412T12,21,79,18.7694,-97.8808,0,Puebla,Huitziltepec,3.89,95.0,25.96,27.64,12.94,11.02
33.71,Medio nublado,6,Suroeste,217.54,20230413T12,21,79,18.7694,-97.8808,1,Puebla,Huitziltepec,0.2,0.0,28.67,27.86,14.17,12.22
11.75,Poco nuboso,6,Suroeste,204.32,20230414T12,21,79,18.7694,-97.8808,2,Puebla,Huitziltepec,0.0,0.0,23.53,29.16,15.19,10.17
6.52,Despejado,6,Sur,171.46,20230415T12,21,79,18.7694,-97.8808,3,Puebla,Huitziltepec,0.06,0.0,23.75,29.77,16.22,10.55
86.51,Cielo cubierto,6,Este,109.08,20230412T12,21,84,20.0249,-97.6468,0,Puebla,Ixtepec,2.11,95.0,9.85,19.2,9.93,3.85
60.77,Cielo nublado,6,Sureste,126.63,20230413T12,21,84,20.0249,-97.6468,1,Puebla,Ixtepec,0.5,0.0,10.61,23.4,12.51,5.26
21.24,Poco nuboso,6,Sureste,129.73,20230414T12,21,84,20.0249,-97.6468,2,Puebla,Ixtepec,0.92,95.0,12.16,27.67,14.07,7.79
28.69,Medio nublado,6,Suroeste,219.97,20230415T12,21,84,20.0249,-97.6468,3,Puebla,Ixtepec,1.5,80.0,11.1,28.4,14.32,6.09
87.05,Cielo cubierto,6,Sureste,123.19,20230412T12,21,88,20.0304,-97.5749,0,Puebla,Jonotla,1.11,95.0,9.63,19.47,9.89,3.56
61.33,Cielo nublado,6,Sureste,125.2,20230413T12,21,88,20.0304,-97.5749,1,Puebla,Jonotla,0.74,0.0,10.28,23.7,12.63,4.94
25.33,Medio nublado,6,Sureste,124.99,20230414T12,21,88,20.0304,-97.5749,2,Puebla,Jonotla,1.11,95.0,12.38,28.02,14.36,7.3
29.6,Medio nublado,6,Suroeste,220.36,20230415T12,21,88,20.0304,-97.5749,3,Puebla,Jonotla,2.13,95.0,10.93,28.89,15.02,5.61
55.4,Cielo nublado,6,Sureste,157.23,20230412T12,21,95,18.7585,-98.1007,0,Puebla,La Magdalena Tlatlauquitepec,3.06,95.0,21.97,28.6,14.97,9.22
40.27,Medio nublado,6,Suroeste,214.45,20230413T12,21,95,18.7585,-98.1007,1,Puebla,La Magdalena Tlatlauquitepec,0.01,0.0,31.19,29.59,15.75,10.83
12.57,Poco nuboso,6,Suroeste,218.18,20230414T12,21,95,18.7585,-98.1007,2,Puebla,La Magdalena Tlatlauquitepec,0.0,0.0,18.86,30.69,16.66,8.53
3.98,Despejado,6,Sur,162.21,20230415T12,21,95,18.7585,-98.1007,3,Puebla,La Magdalena Tlatlauquitepec,0.1,0.0,16.85,31.1,17.65,9.13
56.24,Cielo nublado,6,Sur,176.52,20230412T12,21,96,19.1193,-97.7035,0,Puebla,Mazapiltepec de Juárez,5.92,95.0,25.48,23.12,8.43,9.41
53.39,Cielo nublado,6,Sur,201.21,20230413T12,21,96,19.1193,-97.7035,1,Puebla,Mazapiltepec de Juárez,0.29,20.0,32.73,23.17,9.46,12.79
4.63,Despejado,6,Sur,184.6,20230414T12,21,96,19.1193,-97.7035,2,Puebla,Mazapiltepec de Juárez,0.11,0.0,27.02,24.85,10.68,10.77
17.67,Poco nuboso,6,Sureste,141.71,20230415T12,21,96,19.1193,-97.7035,3,Puebla,Mazapiltepec de Juárez,0.38,80.0,23.64,25.6,11.46,9.58
55.53,Cielo nublado,6,Sureste,155.43,20230412T12,21,97,18.903,-97.8953,0,Puebla,Mixtla,5.67,95.0,24.11,25.86,11.48,10.1
40.7,Medio nublado,6,Suroeste,211.0,20230413T12,21,97,18.903,-97.8953,1,Puebla,Mixtla,0.04,0.0,30.22,26.41,12.73,11.65
8.82,Despejado,6,Sur,199.83,20230414T12,21,97,18.903,-97.8953,2,Puebla,Mixtla,0.0,0.0,25.64,27.71,13.73,9.69
11.16,Poco nuboso,6,Sur,163.81,20230415T12,21,97,18.903,-97.8953,3,Puebla,Mixtla,0.11,0.0,19.12,28.31,14.68,9.91
84.17,Cielo cubierto,6,Sureste,114.98,20230412T12,21,101,19.959,-97.6031,0,Puebla,Nauzontla,2.12,95.0,11.07,17.83,8.17,4.82
60.6,Cielo nublado,6,Sureste,145.89,20230413T12,21,101,19.959,-97.6031,1,Puebla,Nauzontla,1.53,0.0,10.59,22.59,10.25,6.85
25.49,Medio nublado,6,Sureste,129.79,20230414T12,21,101,19.959,-97.6031,2,Puebla,Nauzontla,2.39,95.0,12.81,26.31,11.91,8.3
29.18,Medio nublado,6,Sureste,131.49,20230415T12,21,101,19.959,-97.6031,3,Puebla,Nauzontla,3.35,95.0,11.95,26.54,12.23,6.22
61.31,Cielo nublado,6,Sur,190.46,20230412T12,21,102,19.0509,-98.4277,0,Puebla,Nealtican,5.95,95.0,20.0,18.35,6.81,8.76
47.47,Medio nublado,6,Suroeste,214.24,20230413T12,21,102,19.0509,-98.4277,1,Puebla,Nealtican,0.5,95.0,23.65,18.79,7.56,10.74
13.0,Poco nuboso,6,Suroeste,210.96,20230414T12,21,102,19.0509,-98.4277,2,Puebla,Nealtican,0.26,0.0,19.91,20.33,8.54,8.83
6.6,Despejado,6,Suroeste,220.04,20230415T12,21,102,19.0509,-98.4277,3,Puebla,Nealtican,0.0,0.0,20.66,21.02,8.76,9.72
57.59,Cielo nublado,6,Sureste,150.15,20230412T12,21,122,19.2357,-98.4955,0,Puebla,San Felipe Teotlalcingo,3.53,95.0,22.7,17.1,4.1,4.58
57.65,Cielo nublado,6,Sur,196.57,20230413T12,21,122,19.2357,-98.4955,1,Puebla,San Felipe Teotlalcingo,0.77,95.0,15.9,16.5,4.5,6.85
9.06,Despejado,6,Sur,188.33,20230414T12,21,122,19.2357,-98.4955,2,Puebla,San Felipe Teotlalcingo,0.54,95.0,21.1,18.8,5.4,7.86
13.85,Poco nuboso,6,Suroeste,207.23,20230415T12,21,122,19.2357,-98.4955,3,Puebla,San Felipe Teotlalcingo,0.01,0.0,22.3,20.0,5.7,7.9
83.33,Cielo cubierto,6,Este,100.59,20230412T12,21,123,20.0913,-97.7962,0,Puebla,San Felipe Tepatlán,2.0,95.0,10.0,19.41,10.76,4.37
61.48,Cielo nublado,6,Sureste,134.88,20230413T12,21,123,20.0913,-97.7962,1,Puebla,San Felipe Tepatlán,0.96,0.0,10.62,23.5,12.96,6.07
19.12,Poco nuboso,6,Sureste,141.99,20230414T12,21,123,20.0913,-97.7962,2,Puebla,San Felipe Tepatlán,0.49,80.0,12.3,27.52,14.28,7.92
28.01,Medio nublado,6,Sureste,149.67,20230415T12,21,123,20.0913,-97.7962,3,Puebla,San Felipe Tepatlán,2.21,95.0,10.92,28.34,13.93,6.27
58.57,Cielo nublado,6,Sur,177.55,20230412T12,21,125,19.0267,-98.3458,0,Puebla,San Gregorio Atzompa,4.44,95.0,25.85,22.26,9.88,9.1
46.66,Medio nublado,6,Suroeste,203.71,20230413T12,21,125,19.0267,-98.3458,1,Puebla,San Gregorio Atzompa,0.24,20.0,29.55,23.33,10.86,11.58
12.02,Poco nuboso,6,Suroeste,202.56,20230414T12,21,125,19.0267,-98.3458,2,Puebla,San Gregorio Atzompa,0.14,0.0,20.89,24.64,12.04,8.92
4.95,Despejado,6,Suroeste,204.41,20230415T12,21,125,19.0267,-98.3458,3,Puebla,San Gregorio Atzompa,0.0,80.0,21.2,25.33,12.35,9.5
53.84,Cielo nublado,6,Sureste,153.18,20230412T12,21,131,18.7461,-98.0243,0,Puebla,San Juan Atzompa,3.16,95.0,25.14,28.69,14.74,9.56
39.7,Medio nublado,6,Suroeste,212.22,20230413T12,21,131,18.7461,-98.0243,1,Puebla,San Juan Atzompa,0.01,0.0,31.0,29.4,15.56,11.26
12.72,Poco nuboso,6,Suroeste,214.0,20230414T12,21,131,18.7461,-98.0243,2,Puebla,San Juan Atzompa,0.0,0.0,20.17,30.53,16.5,8.83
3.97,Despejado,6,Sur,162.94,20230415T12,21,131,18.7461,-98.0243,3,Puebla,San Juan Atzompa,0.12,0.0,17.09,30.92,17.56,9.38
60.0,Cielo nublado,6,Sur,182.33,20230412T12,21,133,18.6492,-98.3464,0,Puebla,San Martín Totoltepec,2.63,95.0,36.77,29.43,17.39,7.57
40.39,Medio nublado,6,Suroeste,214.71,20230413T12,21,133,18.6492,-98.3464,1,Puebla,San Martín Totoltepec,0.0,0.0,29.09,31.12,17.68,9.01
11.4,Poco nuboso,6,Suroeste,226.84,20230414T12,21,133,18.6492,-98.3464,2,Puebla,San Martín Totoltepec,0.0,0.0,15.61,32.38,18.56,7.52
2.49,Despejado,6,Sur,174.69,20230415T12,21,133,18.6492,-98.3464,3,Puebla,San Martín Totoltepec,0.0,0.0,15.26,32.88,19.33,7.69
53.55,Cielo nublado,6,Sur,167.19,20230412T12,21,134,19.3244,-98.4982,0,Puebla,San Matías Tlalancaleca,1.9,95.0,23.19,18.7,4.9,6.22
58.38,Cielo nublado,6,Sur,186.75,20230413T12,21,134,19.3244,-98.4982,1,Puebla,San Matías Tlalancaleca,0.68,95.0,15.65,17.99,5.45,7.54
8.7,Despejado,6,Sur,180.03,20230414T12,21,134,19.3244,-98.4982,2,Puebla,San Matías Tlalancaleca,0.62,95.0,20.3,20.65,6.56,7.86
14.52,Poco nuboso,6,Sur,188.15,20230415T12,21,134,19.3244,-98.4982,3,Puebla,San Matías Tlalancaleca,0.06,20.0,21.04,21.8,6.83,7.62
88.42,Cielo cubierto,6,Noreste,64.53,20230412T12,7,91,17.2484,-93.0163,0,Chiapas,Tapilula,1.24,95.0,10.1,22.1,14.6,4.34
68.46,Cielo nublado,6,Sureste,157.21,20230413T12,7,91,17.2484,-93.0163,1,Chiapas,Tapilula,7.85,95.0,13.3,27.5,16.6,5.85
35.06,Medio nublado,6,Sur,181.95,20230414T12,7,91,17.2484,-93.0163,2,Chiapas,Tapilula,13.94,95.0,21.6,30.1,16.1,5.31
36.89,Medio nublado,6,Suroeste,213.37,20230415T12,7,91,17.2484,-93.0163,3,Chiapas,Tapilula,0.64,95.0,11.9,30.1,17.5,3.96
57.24,Cielo nublado,6,Sur,160.19,20230412T12,21,144,18.9206,-97.7718,0,Puebla,San Salvador Huixcolotla,7.91,95.0,27.37,24.08,10.24,9.62
42.04,Medio nublado,6,Suroeste,209.84,20230413T12,21,144,18.9206,-97.7718,1,Puebla,San Salvador Huixcolotla,0.35,0.0,31.71,24.76,11.58,11.23
6.98,Despejado,6,Sur,186.91,20230414T12,21,144,18.9206,-97.7718,2,Puebla,San Salvador Huixcolotla,0.06,0.0,25.75,26.19,12.43,9.9
18.14,Poco nuboso,6,Sur,160.32,20230415T12,21,144,18.9206,-97.7718,3,Puebla,San Salvador Huixcolotla,0.35,0.0,20.57,26.93,13.57,9.54
55.47,Cielo nublado,6,Sur,170.74,20230412T12,21,146,18.6143,-98.0799,0,Puebla,Santa Catarina Tlaltempan,2.87,95.0,28.14,29.97,16.59,8.74
35.51,Medio nublado,6,Suroeste,210.32,20230413T12,21,146,18.6143,-98.0799,1,Puebla,Santa Catarina Tlaltempan,0.0,0.0,26.97,31.06,17.03,11.04
9.63,Despejado,6,Suroeste,215.78,20230414T12,21,146,18.6143,-98.0799,2,Puebla,Santa Catarina Tlaltempan,0.0,0.0,17.54,32.07,17.89,8.32
2.18,Despejado,6,Sur,174.7,20230415T12,21,146,18.6143,-98.0799,3,Puebla,Santa Catarina Tlaltempan,0.0,0.0,15.28,32.56,19.01,8.64
60.4,Cielo nublado,6,Sur,176.16,20230412T12,21,148,18.9946,-98.3792,0,Puebla,Santa Isabel Cholula,4.93,95.0,23.36,20.88,9.07,9.06
46.41,Medio nublado,6,Suroeste,210.11,20230413T12,21,148,18.9946,-98.3792,1,Puebla,Santa Isabel Cholula,0.24,80.0,28.0,21.91,9.8,11.22
12.74,Poco nuboso,6,Sur,196.3,20230414T12,21,148,18.9946,-98.3792,2,Puebla,Santa Isabel Cholula,0.11,0.0,19.91,23.21,10.98,8.82
5.41,Despejado,6,Suroeste,211.82,20230415T12,21,148,18.9946,-98.3792,3,Puebla,Santa Isabel Cholula,0.0,20.0,20.02,23.96,11.28,9.62
55.72,Cielo nublado,6,Sureste,155.44,20230412T12,21,151,18.8911,-97.8672,0,Puebla,Santo Tomás Hueyotlipan,5.83,95.0,23.99,25.56,11.29,10.14
39.75,Medio nublado,6,Suroeste,211.67,20230413T12,21,151,18.8911,-97.8672,1,Puebla,Santo Tomás Hueyotlipan,0.15,0.0,30.61,26.07,12.5,11.63
8.41,Despejado,6,Sur,196.6,20230414T12,21,151,18.8911,-97.8672,2,Puebla,Santo Tomás Hueyotlipan,0.0,0.0,25.96,27.44,13.44,9.86
12.54,Poco nuboso,6,Sur,164.2,20230415T12,21,151,18.8911,-97.8672,3,Puebla,Santo Tomás Hueyotlipan,0.15,0.0,19.54,28.05,14.53,9.92
62.18,Cielo nublado,6,Sur,168.85,20230412T12,21,165,18.7356,-98.6291,0,Puebla,Tepemaxalco,4.97,95.0,35.58,27.73,15.94,7.19
43.6,Medio nublado,6,Sur,196.91,20230413T12,21,165,18.7356,-98.6291,1,Puebla,Tepemaxalco,0.0,0.0,28.13,29.01,16.43,7.61
11.79,Poco nuboso,6,Suroeste,207.41,20230414T12,21,165,18.7356,-98.6291,2,Puebla,Tepemaxalco,0.0,0.0,14.45,30.43,17.16,6.82
3.17,Despejado,6,Oeste,285.74,20230415T12,21,165,18.7356,-98.6291,3,Puebla,Tepemaxalco,0.0,0.0,13.87,31.19,17.81,7.51
52.78,Cielo nublado,6,Sureste,150.36,20230412T12,21,171,18.8131,-97.878,0,Puebla,Tepeyahualco de Cuauhtémoc,4.73,95.0,25.35,27.37,12.48,10.99
34.32,Medio nublado,6,Suroeste,216.58,20230413T12,21,171,18.8131,-97.878,1,Puebla,Tepeyahualco de Cuauhtémoc,0.2,0.0,29.1,27.44,13.77,12.07
11.4,Poco nuboso,6,Suroeste,202.68,20230414T12,21,171,18.8131,-97.878,2,Puebla,Tepeyahualco de Cuauhtémoc,0.0,0.0,24.48,28.74,14.74,10.22
7.86,Despejado,6,Sur,169.52,20230415T12,21,171,18.8131,-97.878,3,Puebla,Tepeyahualco de Cuauhtémoc,0.11,0.0,23.27,29.37,15.8,10.49
80.45,Cielo cubierto,6,Sureste,129.71,20230412T12,21,173,19.8583,-97.4572,0,Puebla,Teteles de Avila Castillo,1.3,95.0,12.57,16.04,6.07,5.99
