cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien
71.39,Cielo nublado,6,Sur,196.13,20230412T12,20,107,17.0313,-96.6993,0,Oaxaca,San Antonio de la Cal,6.3,95.0,20.38,27.52,14.04,6.25
56.61,Cielo nublado,6,Suroeste,217.73,20230413T12,20,107,17.0313,-96.6993,1,Oaxaca,San Antonio de la Cal,6.31,95.0,21.75,26.95,15.22,7.3
37.12,Medio nublado,6,Sur,194.56,20230414T12,20,107,17.0313,-96.6993,2,Oaxaca,San Antonio de la Cal,2.62,95.0,19.55,29.51,16.79,6.48
50.66,Cielo nublado,6,Sur,170.13,20230415T12,20,107,17.0313,-96.6993,3,Oaxaca,San Antonio de la Cal,2.77,95.0,17.3,29.37,16.15,6.91
60.16,Cielo nublado,6,Suroeste,212.75,20230412T12,20,127,17.2845,-97.5699,0,Oaxaca,San Cristóbal Amoltepec,3.04,95.0,15.92,27.02,12.0,6.72
63.74,Cielo nublado,6,Sur,202.22,20230413T12,20,127,17.2845,-97.5699,1,Oaxaca,San Cristóbal Amoltepec,0.77,95.0,17.54,27.57,12.33,5.89
28.14,Medio nublado,6,Sur,191.31,20230414T12,20,127,17.2845,-97.5699,2,Oaxaca,San Cristóbal Amoltepec,0.05,0.0,18.55,29.97,14.06,5.85
54.28,Cielo nublado,6,Sur,164.44,20230415T12,20,127,17.2845,-97.5699,3,Oaxaca,San Cristóbal Amoltepec,0.12,0.0,19.12,30.63,14.49,5.78
84.58,Cielo cubierto,6,Este,99.09,20230412T12,20,128,17.336,-96.165,0,Oaxaca,San Cristóbal Lachirioag,4.17,95.0,8.9,20.45,14.55,4.14
71.65,Cielo nublado,6,Sureste,157.1,20230413T12,20,128,17.336,-96.165,1,Oaxaca,San Cristóbal Lachirioag,17.34,95.0,12.21,26.3,16.37,6.7
29.31,Medio nublado,6,Sur,183.14,20230414T12,20,128,17.336,-96.165,2,Oaxaca,San Cristóbal Lachirioag,15.67,95.0,17.08,29.26,17.28,7.27
44.74,Medio nublado,6,Sur,178.04,20230415T12,20,128,17.336,-96.165,3,Oaxaca,San Cristóbal Lachirioag,23.27,95.0,22.31,29.51,15.24,7.55
71.19,Cielo nublado,6,Sur,171.63,20230412T12,20,145,17.0114,-96.5985,0,Oaxaca,San Francisco Lachigoló,7.85,95.0,16.06,26.37,14.14,6.36
57.51,Cielo nublado,6,Suroeste,214.66,20230413T12,20,145,17.0114,-96.5985,1,Oaxaca,San Francisco Lachigoló,5.63,95.0,18.18,27.05,15.47,7.38
32.7,Medio nublado,6,Sur,200.18,20230414T12,20,145,17.0114,-96.5985,2,Oaxaca,San Francisco Lachigoló,3.15,95.0,19.49,28.8,16.88,6.67
48.04,Medio nublado,6,Sur,162.7,20230415T12,20,145,17.0114,-96.5985,3,Oaxaca,San Francisco Lachigoló,2.7,95.0,19.35,28.57,16.21,7.39
64.56,Cielo nublado,6,Sur,164.51,20230412T12,20,146,16.3523,-96.378,0,Oaxaca,San Francisco Logueche,13.59,95.0,13.76,25.17,13.51,4.62
53.55,Cielo nublado,6,Sur,190.33,20230413T12,20,146,16.3523,-96.378,1,Oaxaca,San Francisco Logueche,7.37,95.0,14.79,24.39,14.46,5.4
25.59,Medio nublado,6,Sur,195.4,20230414T12,20,146,16.3523,-96.378,2,Oaxaca,San Francisco Logueche,1.82,95.0,14.63,26.48,15.3,5.38
39.36,Medio nublado,6,Sur,188.82,20230415T12,20,146,16.3523,-96.378,3,Oaxaca,San Francisco Logueche,1.3,95.0,13.44,27.74,15.41,5.16
68.68,Cielo nublado,6,Sur,197.11,20230412T12,20,157,17.1008,-96.7626,0,Oaxaca,San Jacinto Amilpas,5.3,95.0,21.3,27.84,13.71,5.88
57.6,Cielo nublado,6,Suroeste,207.46,20230413T12,20,157,17.1008,-96.7626,1,Oaxaca,San Jacinto Amilpas,6.29,95.0,22.64,26.73,14.88,6.91
