Cve_Ent,Cve_Mun,Value,tmax,tmin
5,13,807,28.91,16.575
5,13,807,31.525,18.715
5,13,807,34.010000000000005,19.915
5,14,733,29.31,13.83
5,14,733,30.314999999999998,14.775
5,14,733,33.015,17.725
5,14,733,34.644999999999996,18.37
5,15,725,27.39,15.95
5,15,725,28.325000000000003,17.305
5,15,725,30.880000000000003,19.96
5,15,725,33.22,19.895000000000003
5,16,145,27.93,13.86
5,16,145,29.205,15.145
5,16,145,31.44,16.869999999999997
5,16,145,32.14,16.775
5,17,299,29.53,16.46
5,17,299,30.555,17.955
5,17,299,30.799999999999997,17.665
5,17,299,30.23,16.630000000000003
5,18,965,28.08,15.76
5,18,965,29.284999999999997,17.18
5,18,965,31.784999999999997,20.32
5,18,965,32.974999999999994,19.805
5,19,210,27.87,15.49
5,19,210,28.83,16.545
5,19,210,31.449999999999996,18.745
5,19,210,33.22,18.05
5,20,370,25.64,12.83
5,20,370,26.715,14.36
5,20,370,28.81,16.470000000000002
5,20,370,29.424999999999997,15.690000000000001
5,21,369,28.12,14.72
5,21,369,29.265,16.035
5,21,369,32.085,18.310000000000002
5,21,369,33.455,18.275
5,22,595,28.8,14.99
5,22,595,29.955,15.805
5,22,595,32.64,18.66
5,22,595,34.58,19.395000000000003
5,23,409,27.25,13.8
5,23,409,28.475,14.855
5,23,409,29.015,15.58
5,23,409,27.665,15.375
5,24,253,27.67,14.16
5,24,253,28.935000000000002,15.515
5,24,253,29.049999999999997,16.23
5,24,253,28.439999999999998,15.535
5,25,800,29.42,14.31
5,25,800,30.545,15.240000000000002
5,25,800,33.260000000000005,18.335
5,25,800,35.120000000000005,19.009999999999998
5,26,460,28.13,16.09
5,26,460,29.465,17.509999999999998
5,26,460,32.355,20.3
5,26,460,34.099999999999994,20.18
5,27,914,25.91,13.86
5,27,914,27.23,15.69
5,27,914,29.165,17.73
5,27,914,29.82,17.755000000000003
5,28,438,28.21,15.44
5,28,438,29.34,16.675
5,28,438,32.045,19.215
5,28,438,34.019999999999996,19.189999999999998
5,29,224,27.12,15.87
5,29,224,28.310000000000002,16.915
5,29,224,31.004999999999995,18.52
5,29,224,32.41499999999999,18.415
5,30,834,22.7,11.92
5,30,834,24.295,12.870000000000001
5,30,834,25.115000000000002,14.42
5,30,834,23.8,14.125
5,31,11,26.07,12.88
5,31,11,27.415,14.469999999999999
5,31,11,29.425,16.195
5,31,11,29.705,15.420000000000002
5,32,401,28.9,14.97
5,32,401,30.009999999999998,16.240000000000002
5,32,401,32.315,18.76
5,32,401,34.2,18.655
5,33,604,29.62,14.81
5,33,604,30.615000000000002,16.76
5,33,604,30.645,17.04
5,33,604,30.35,15.919999999999998
5,34,105,27.82,16.2
5,34,105,29.245,16.715
5,34,105,29.695,15.32
5,34,105,28.17,14.175
5,35,762,28.29,16.49
5,35,762,28.985,17.115
5,35,762,29.145,16.715
5,35,762,28.42,15.815
5,36,697,29.36,14.28
5,36,697,30.545,15.45
5,36,697,30.505000000000003,16.09
5,36,697,29.79,15.270000000000003
5,37,924,27.1,15.47
5,37,924,28.125,16.79
5,37,924,31.185,19.155
5,37,924,33.335,18.674999999999997
5,38,525,27.49,14.69
5,38,525,28.58,16.02
5,38,525,31.310000000000002,18.435000000000002
5,38,525,32.485,17.23
6,1,636,29.97,18.82
6,1,636,30.165,18.535
6,1,636,30.39,18.68
6,1,636,30.89,19.555
6,2,302,33.86,17.37
6,2,302,33.94,16.93
6,2,302,34.445,17.174999999999997
6,2,302,35.2,18.5
6,3,249,31.85,15.55
6,3,249,31.65,15.335
6,3,249,31.970000000000002,15.784999999999998
6,3,249,32.995000000000005,17.214999999999996
6,4,363,32.64,17.37
6,4,363,32.655,17.125
6,4,363,33.0,17.47
6,4,363,33.769999999999996,18.705
6,5,541,29.21,15.03
6,5,541,29.14,14.83
6,5,541,29.630000000000003,15.24
6,5,541,30.665,16.47
6,6,209,33.1,17.75
6,6,209,33.35,17.2
6,6,209,33.93,17.27
6,6,209,34.62,18.465
6,7,323,31.67,19.06
6,7,323,31.89,18.91
6,7,323,32.345,19.18
6,7,323,32.76,19.955
6,8,62,31.88,15.54
6,8,62,31.67,15.309999999999999
6,8,62,31.885000000000005,15.745000000000001
6,8,62,32.86,17.040000000000003
6,9,747,31.96,20.37
6,9,747,32.125,19.94
6,9,747,32.364999999999995,19.955
6,9,747,32.724999999999994,20.735
6,10,957,33.1,16.67
6,10,957,32.965,16.455
6,10,957,33.28,16.895
6,10,957,34.16,18.265
7,1,144,29.85,17.9
7,1,144,29.560000000000002,17.955
7,1,144,29.345,18.15
7,1,144,29.57,18.545
7,2,785,32.46,18.45
7,2,785,33.650000000000006,19.715
7,2,785,35.875,21.08
7,2,785,36.605,21.564999999999998
7,3,834,33.48,22.49
7,3,834,33.235,22.515
7,3,834,33.019999999999996,22.759999999999998
7,3,834,33.09,23.015
7,4,87,22.31,14.15
7,4,87,24.29,14.155000000000001
7,4,87,27.625,14.620000000000001
7,4,87,29.43,15.58
7,5,461,26.34,18.24
7,5,461,28.77,18.729999999999997
7,5,461,32.745,19.68
7,5,461,34.835,20.455
7,6,381,22.42,12.58
7,6,381,22.29,12.940000000000001
7,6,381,23.4,13.56
7,6,381,24.825000000000003,14.120000000000001
7,7,118,21.46,10.98
7,7,118,22.94,11.795
7,7,118,25.005000000000003,12.934999999999999
7,7,118,26.1,13.85
7,8,917,29.1,15.63
7,8,917,29.945,16.255
7,8,917,30.634999999999998,17.04
7,8,917,30.759999999999998,17.42
7,9,91,35.44,23.79
7,9,91,35.17,24.22
7,9,91,34.765,24.869999999999997
7,9,91,34.585,24.975
7,10,394,20.02,11.84
7,10,394,20.285,12.115
7,10,394,21.564999999999998,12.645
7,10,394,22.575,13.185
7,11,115,24.14,13.16
7,11,115,24.130000000000003,13.65
7,11,115,24.85,14.43
7,11,115,25.915,15.02
7,12,257,28.24,17.03
7,12,257,31.235,18.365000000000002
7,12,257,35.185,19.54
7,12,257,36.434999999999995,19.765
7,13,492,24.78,14.69
7,13,492,27.43,15.739999999999998
7,13,492,30.45,16.82
7,13,492,31.515,17.355
7,14,497,23.3,13.95
7,14,497,25.905,14.66
7,14,497,29.605,15.709999999999999
7,14,497,31.13,16.5
7,15,846,23.83,17.8
7,15,846,23.775,17.66
